stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-05-30 05:26:00,425.81,425.83,425.74,425.74,226
MSFT,2024-05-30 05:25:00,425.89,425.89,425.89,425.89,2
MSFT,2024-05-30 05:24:00,425.89,425.89,425.89,425.89,5
MSFT,2024-05-30 05:23:00,425.81,425.89,425.81,425.89,2
MSFT,2024-05-30 05:22:00,425.9,425.9,425.81,425.81,60
MSFT,2024-05-30 05:21:00,425.87,425.87,425.82,425.85,80
MSFT,2024-05-30 05:20:00,425.9,425.9,425.9,425.9,59
MSFT,2024-05-30 05:19:00,425.91,425.91,425.91,425.91,9
MSFT,2024-05-30 05:18:00,425.91,425.95,425.9,425.91,13
MSFT,2024-05-30 05:17:00,425.91,425.91,425.9,425.9,21
MSFT,2024-05-30 05:16:00,425.91,425.95,425.86,425.95,8
MSFT,2024-05-30 05:13:00,425.95,425.95,425.95,425.95,2
MSFT,2024-05-30 05:12:00,425.97,425.97,425.95,425.95,3
MSFT,2024-05-30 05:11:00,425.82,425.97,425.78,425.97,53
MSFT,2024-05-30 05:10:00,425.91,425.92,425.87,425.91,68
MSFT,2024-05-30 05:09:00,425.95,425.95,425.95,425.95,2
MSFT,2024-05-30 05:08:00,425.83,425.91,425.83,425.91,6
MSFT,2024-05-30 05:07:00,425.83,425.83,425.82,425.83,14
MSFT,2024-05-30 05:06:00,425.83,425.9,425.81,425.81,33
MSFT,2024-05-30 05:05:00,425.95,425.96,425.95,425.96,5
MSFT,2024-05-30 05:04:00,425.85,425.9,425.81,425.82,52
MSFT,2024-05-30 05:03:00,425.97,426.0,425.86,425.9,437
MSFT,2024-05-30 05:02:00,425.96,425.99,425.96,425.97,103
MSFT,2024-05-30 05:01:00,425.82,425.97,425.82,425.95,15
MSFT,2024-05-30 05:00:00,425.81,425.81,425.78,425.78,50
MSFT,2024-05-30 04:59:00,425.82,425.83,425.82,425.83,10
MSFT,2024-05-30 04:57:00,425.83,425.83,425.83,425.83,3
MSFT,2024-05-30 04:56:00,425.9,425.9,425.9,425.9,1
MSFT,2024-05-30 04:54:00,425.81,425.88,425.72,425.88,25
MSFT,2024-05-30 04:53:00,425.87,425.88,425.81,425.81,91
MSFT,2024-05-30 04:52:00,425.9,425.91,425.87,425.87,148
MSFT,2024-05-30 04:51:00,425.86,425.86,425.86,425.86,3
MSFT,2024-05-30 04:50:00,425.94,425.94,425.83,425.85,26
MSFT,2024-05-30 04:49:00,425.88,425.94,425.88,425.94,50
MSFT,2024-05-30 04:48:00,425.85,425.89,425.85,425.89,82
MSFT,2024-05-30 04:47:00,425.68,425.74,425.66,425.74,393
MSFT,2024-05-30 04:46:00,425.49,425.64,425.43,425.61,320
MSFT,2024-05-30 04:45:00,425.6,425.63,425.52,425.52,5
MSFT,2024-05-30 04:44:00,425.52,425.52,425.52,425.52,2
MSFT,2024-05-30 04:43:00,425.52,425.52,425.52,425.52,4
MSFT,2024-05-30 04:42:00,425.52,425.54,425.5,425.51,621
MSFT,2024-05-30 04:41:00,425.5,425.6,425.5,425.52,404
MSFT,2024-05-30 04:40:00,425.57,425.57,425.5,425.5,247
MSFT,2024-05-30 04:39:00,425.59,425.63,425.59,425.63,4
MSFT,2024-05-30 04:37:00,425.6,425.63,425.59,425.63,5
MSFT,2024-05-30 04:36:00,425.58,425.59,425.58,425.59,3
MSFT,2024-05-30 04:35:00,425.58,425.61,425.45,425.45,314
MSFT,2024-05-30 04:34:00,425.57,425.62,425.57,425.6,103
MSFT,2024-05-30 04:33:00,425.6,425.6,425.6,425.6,4
MSFT,2024-05-30 04:32:00,425.57,425.59,425.57,425.59,12
